id,Act,Scene,Description,work_id
19353,0,1,"Verona: Mantua.",34
19354,1,1,"Verona. A public place.",34
19355,1,2,"A street.",34
19356,1,3,"A room in Capulet’s house.",34
19357,1,4,"A street.",34
19358,1,5,"A hall in Capulet’s house.",34
19359,2,0,Prologue.,34
19360,2,1,"A lane by the wall of Capulet’s orchard.",34
19361,2,2,"Capulet’s orchard.",34
19362,2,3,"Friar Laurence’s cell.",34
19363,2,4,"A street.",34
19364,2,5,"Capulet’s orchard.",34
19365,2,6,"Friar Laurence’s cell.",34
19366,3,1,"A public place.",34
19367,3,2,"Capulet’s orchard.",34
19368,3,3,"Friar Laurence’s cell.",34
19369,3,4,"A room in Capulet’s house.",34
19370,3,5,"Capulet’s orchard.",34
19371,4,1,"Friar Laurence’s cell.",34
19372,4,2,"Hall in Capulet’s house.",34
19373,4,3,"Juliet’s chamber.",34
19374,4,4,"Hall in Capulet’s house.",34
19375,4,5,"Juliet’s chamber.",34
19376,5,1,"Mantua. A street.",34
19377,5,2,"Friar Laurence’s cell.",34
19378,5,3,"A churchyard; in it a tomb belonging to the Capulets.",34
19379,1,1,---,35
19380,1,2,---,35
19381,1,3,---,35
19382,1,4,---,35
19383,1,5,---,35
19384,1,6,---,35
19385,1,7,---,35
19386,1,8,---,35
19387,1,9,---,35
19388,1,10,"---
",35
19389,1,11,"---
",35
19390,1,12,"---
",35
19391,1,13,"---
",35
19392,1,14,"---
",35
19393,1,15,"---
",35
19394,1,16,"---
",35
19395,1,17,"---
",35
19396,1,18,"---
",35
19397,1,19,"---
",35
19398,1,20,"---
",35
19399,1,21,"---
",35
19400,1,22,"---
",35
19401,1,23,"---
",35
19402,1,24,"---
",35
19403,1,25,"---
",35
19404,1,26,"---
",35
19405,1,27,"---
",35
19406,1,28,"---
",35
19407,1,29,"---
",35
19408,1,30,"---
",35
19409,1,31,"---
",35
19410,1,32,"---
",35
19411,1,33,"---
",35
19412,1,34,"---
",35
19413,1,35,"---
",35
19414,1,36,"---
",35
19415,1,37,"---
",35
19416,1,38,"---
",35
19417,1,39,"---
",35
19418,1,40,"---
",35
19419,1,41,"---
",35
19420,1,42,"---
",35
19421,1,43,"---
",35
19422,1,44,"---
",35
19423,1,45,"---
",35
19424,1,46,"---
",35
19425,1,47,"---
",35
19426,1,48,"---
",35
19427,1,49,"---
",35
19428,1,50,"---
",35
19429,1,51,"---
",35
19430,1,52,"---
",35
19431,1,53,"---
",35
19432,1,54,"---
",35
19433,1,55,"---
",35
19434,1,56,"---
",35
19435,1,57,"---
",35
19436,1,58,"---
",35
19437,1,59,"---
",35
19438,1,60,"---
",35
19439,1,61,"---
",35
19440,1,62,"---
",35
19441,1,63,"---
",35
19442,1,64,"---
",35
19443,1,65,"---
",35
19444,1,66,"---
",35
19445,1,67,"---
",35
19446,1,68,"---
",35
19447,1,69,"---
",35
19448,1,70,"---
",35
19449,1,71,"---
",35
19450,1,72,"---
",35
19451,1,73,"---
",35
19452,1,74,"---
",35
19453,1,75,"---
",35
19454,1,76,"---
",35
19455,1,77,"---
",35
19456,1,78,"---
",35
19457,1,79,"---
",35
19458,1,80,"---
",35
19459,1,81,"---
",35
19460,1,82,"---
",35
19461,1,83,"---
",35
19462,1,84,"---
",35
19463,1,85,"---
",35
19464,1,86,"---
",35
19465,1,87,"---
",35
19466,1,88,"---
",35
19467,1,89,"---
",35
19468,1,90,"---
",35
19469,1,91,"---
",35
19470,1,92,"---
",35
19471,1,93,"---
",35
19472,1,94,"---
",35
19473,1,95,"---
",35
19474,1,96,"---
",35
19475,1,97,"---
",35
19476,1,98,"---
",35
19477,1,99,"---
",35
19478,1,100,"---
",35
19479,1,101,"---
",35
19480,1,102,"---
",35
19481,1,103,"---
",35
19482,1,104,"---
",35
19483,1,105,"---
",35
19484,1,106,"---
",35
19485,1,107,"---
",35
19486,1,108,"---
",35
19487,1,109,"---
",35
19488,1,110,"---
",35
19489,1,111,"---
",35
19490,1,112,"---
",35
19491,1,113,"---
",35
19492,1,114,"---
",35
19493,1,115,"---
",35
19494,1,116,"---
",35
19495,1,117,"---
",35
19496,1,118,"---
",35
19497,1,119,"---
",35
19498,1,120,"---
",35
19499,1,121,"---
",35
19500,1,122,"---
",35
19501,1,123,"---
",35
19502,1,124,"---
",35
19503,1,125,"---
",35
19504,1,126,"---
",35
19505,1,127,"---
",35
19506,1,128,"---
",35
19507,1,129,"---
",35
19508,1,130,"---
",35
19509,1,131,"---
",35
19510,1,132,"---
",35
19511,1,133,"---
",35
19512,1,134,"---
",35
19513,1,135,"---
",35
19514,1,136,"---
",35
19515,1,137,"---
",35
19516,1,138,"---
",35
19517,1,139,"---
",35
19518,1,140,"---
",35
19519,1,141,"---
",35
19520,1,142,"---
",35
19521,1,143,"---
",35
19522,1,144,"---
",35
19523,1,145,"---
",35
19524,1,146,"---
",35
19525,1,147,"---
",35
19526,1,148,"---
",35
19527,1,149,"---
",35
19528,1,150,"---
",35
19529,1,151,"---
",35
19530,1,152,"---
",35
19531,1,153,"---
",35
19532,1,154,"---
",35
19533,0,1,"Before an alehouse on a heath",36
19534,0,2,"A bedchamber in the LORD’S house",36
19535,1,1,"Padua. A public place",36
19536,1,2,"Padua. Before HORTENSIO’S house",36
19537,2,1,"Padua. BAPTISTA’S house",36
19538,3,1,"Padua. BAPTISTA’S house",36
19539,3,2,"Padua. Before BAPTISTA’So house",36
19540,4,1,"PETRUCHIO’S country house",36
19541,4,2,"Padua. Before BAPTISTA’S house",36
19542,4,3,"PETRUCHIO’S house",36
19543,4,4,"Padua. Before BAPTISTA’S house",36
19544,4,5,"A public road",36
19545,5,1,"Padua. Before LUCENTIO’S house",36
19546,5,2,"LUCENTIO’S house",36
19547,1,1,"On a ship at sea: a tempestuous noise",37
19548,1,2,"The island. Before PROSPERO’S cell.",37
19549,2,1,"Another part of the island.",37
19550,2,2,"Another part of the island.",37
19551,3,1,"Before PROSPERO’S Cell.",37
19552,3,2,"Another part of the island.",37
19553,3,3,"Another part of the island.",37
19554,4,1,"Before PROSPERO’S cell.",37
19555,5,1,"Before PROSPERO’S cell.",37
19556,1,1,"Athens. A hall in Timon’s house.",38
19557,1,2,"A banqueting-room in Timon’s house.",38
19558,2,1,"A Senator’s house.",38
19559,2,2,"The same. A hall in Timon’s house.",38
19560,3,1,"A room in Lucullus’ house.",38
19561,3,2,"A public place.",38
19562,3,3,"A room in Sempronius’ house.",38
19563,3,4,"The same. A hall in Timon’s house.",38
19564,3,5,"The same. The senate-house. The Senate sitting.",38
19565,3,6,"The same. A banqueting-room in Timon’s house.",38
19566,4,1,"Without the walls of Athens.",38
19567,4,2,"Athens. A room in Timon’s house.",38
19568,4,3,"Woods and cave, near the seashore.",38
19569,5,1,"The woods. Before Timon’s cave.",38
19570,5,2,"Before the walls of Athens.",38
19571,5,3,"The woods. Timon’s cave, and a rude tomb seen.",38
19572,5,4,"Before the walls of Athens.",38
19573,1,1,"Rome. Before the Capitol.",39
19574,2,1,"Rome. Before the Palace.",39
19575,2,2,"A forest near Rome. Horns and cry of hounds heard.",39
19576,2,3,"A lonely part of the forest.",39
19577,2,4,"Another part of the forest.",39
19578,3,1,"Rome. A street.",39
19579,3,2,"A room in Titus’s house. A banquet set out.",39
19580,4,1,"Rome. Titus’s garden.",39
19581,4,2,"The same. A room in the palace.",39
19582,4,3,"The same. A public place.",39
19583,4,4,"The same. Before the palace.",39
19584,5,1,"Plains near Rome.",39
19585,5,2,"Rome. Before TITUS’s house.",39
19586,5,3,"Court of TITUS’s house. A banquet set out.",39
19587,1,0,Prologue.,40
19588,1,1,"Troy. Before Priam’s palace.",40
19589,1,2,"The Same. A street.",40
19590,1,3,"The Grecian camp. Before Agamemnon’s tent.",40
19591,2,1,"A part of the Grecian camp.",40
19592,2,2,"Troy. A room in Priam’s palace.",40
19593,2,3,"The Grecian camp. Before Achilles’ tent.",40
19594,3,1,"Troy. Priam’s palace.",40
19595,3,2,"The same. Pandarus’ orchard.",40
19596,3,3,"The Grecian camp. Before Achilles’ tent.",40
19597,4,1,"Troy. A street.",40
19598,4,2,"The same. Court of Pandarus’ house.",40
19599,4,3,"The same. Street before Pandarus’ house.",40
19600,4,4,"The same. Pandarus’ house.",40
19601,4,5,"The Grecian camp. Lists set out.",40
19602,5,1,"The Grecian camp. Before Achilles’ tent.",40
19603,5,2,"The same. Before Calchas’ tent.",40
19604,5,3,"Troy. Before Priam’s palace.",40
19605,5,4,"Plains between Troy and the Grecian camp.",40
19606,5,5,"Another part of the plains.",40
19607,5,6,"Another part of the plains.",40
19608,5,7,"Another part of the plains.",40
19609,5,8,"Another part of the plains.",40
19610,5,9,"Another part of the plains.",40
19611,5,10,"Another part of the plains.
",40
19612,1,1,"Verona. An open place.",41
19613,1,2,"The same. Garden of JULIA’s house.",41
19614,1,3,"The same. ANTONIO’s house.",41
19615,2,1,"Milan. The DUKE’s palace.",41
19616,2,2,"Verona. JULIA’S house.",41
19617,2,3,"The same. A street.",41
19618,2,4,"Milan. The DUKE’s palace.",41
19619,2,5,"The same. A street.",41
19620,2,6,"The same. The DUKE’S palace.",41
19621,2,7,"Verona. JULIA’S house.",41
19622,3,1,"Milan. The DUKE’s palace.",41
19623,3,2,"The same. The DUKE’s palace.",41
19624,4,1,"The frontiers of Mantua. A forest.",41
19625,4,2,"Milan. Outside the DUKE’s palace, under SILVIA’s chamber.",41
19626,4,3,"The same.",41
19627,4,4,"The same.",41
19628,5,1,"Milan. An abbey.",41
19629,5,2,"The same. The DUKE’s palace.",41
19630,5,3,"The frontiers of Mantua. The forest.",41
19631,5,4,"Another part of the forest.",41
19632,1,0,Dedication.,42
19633,1,1,"Venus and Adonis.",42
19634,1,1,"Antechamber in LEONTES’ palace.",43
19635,1,2,"A room of state in the same.",43
19636,2,1,"A room in LEONTES’ palace.",43
19637,2,2,"A prison.",43
19638,2,3,"A room in LEONTES’ palace.",43
19639,3,1,"A sea-port in Sicilia.",43
19640,3,2,"A court of Justice.",43
19641,3,3,"Bohemia. A desert country near the sea.",43
19642,4,1,"Chorus as Time speaks.",43
19643,4,2,"Bohemia. The palace of POLIXENES.",43
19644,4,3,"A road near the Shepherd’s cottage.",43
19645,4,4,"The Shepherd’s cottage.",43
19646,5,1,"A room in LEONTES’ palace.",43
19647,5,2,"Before LEONTES’ palace.",43
19648,5,3,"A chapel in PAULINA’S house.",43
